address;district;area;bedrooms;garage;type;rent;total;cep;Zona
Rua Sansão Alves dos Santos;Cidade Monções;44;2;1;Apartamento;3000;4385;04571-090;Sul
Rua Princesa Isabel;Vila Guiomar;98;3;2;Apartamento;2300;2499;09090-600;Grande SP
Rua Eugênio de Medeiros;Pinheiros;97;3;2;Apartamento;12000;13620;05672-000;Oeste
Rua Valê de Amoreira;Jardim Miriam;15;1;0;Studio e kitnet;750;829;04417-160;Sul
Rua Celso Ramos;Vila Andrade;69;3;2;Apartamento;3150;3899;05734-080;Oeste
Avenida Cipriano Rodrigues;Vila Formosa;39;2;1;Apartamento;1800;2319;03380-160;Leste
Alameda Joaquim Eugênio de Lima;Jardim Paulista;58;1;0;Apartamento;5000;6625;01403-000;Central
Rua Ministro Genésio de Almeida Moura;Vila Nova Mazzei;38;2;0;Casa;2000;2185;02317-260;Norte
Rua Borges Lagoa;Vila Clementino;23;1;0;Studio e kitnet;1020;1713;04038-000;Sul
Rua Cristiano Viana;Cerqueira César;90;1;1;Apartamento;4500;6579;05411-000;Oeste
Rua Correia Dias;Paraíso;25;1;0;Studio e kitnet;4000;4061;04104-000;Sul
Rua Girassol;Vila Madalena;24;1;0;Apartamento;2800;3513;05445-030;Oeste
Rua Lauriano Fernandes Júnior;Vila Leopoldina;90;2;1;Apartamento;5500;6402;05089-070;Oeste
Rua Topázio, 701 - Vila Mariana, São Paulo - Sp, Brasil;Vila Mariana;33;1;1;Studio e kitnet;3000;3868;04105-062;Sul
Rua Joaquim Guarani;Jardim das Acacias;20;1;0;Apartamento;2750;3313;04707-060;Sul
Rua Bonifácio Veronese;Jardim Jaqueline;54;2;1;Apartamento;1800;2269;05529-060;Oeste
Caraíbas;Perdizes;70;3;1;Apartamento;4800;6084;05020-000;Oeste
Rua Marquês Itu;Vila Buarque;30;1;1;Studio e kitnet;2200;2884;03026-005;Leste
Rua Djalma Coelho;Sumarezinho;39;1;1;Apartamento;4500;5583;05441-080;Oeste
Rua Bueno Brandão;Moema;25;1;0;Studio e kitnet;3850;4967;04509-020;Sul
Rua Cardoso de Almeida;Perdizes;33;1;1;Apartamento;2700;3380;05013-000;Oeste
Avenida General Olímpio da Silveira;Santa Cecília;78;2;1;Apartamento;2570;3515;01150-010;Central
Avenida do Rio Bonito;Socorro;53;3;1;Casa;2400;3586;04768-000;Sul
Rua Nelson Gama de Oliveira;Vila Andrade;67;2;1;Apartamento;2600;3638;05734-150;Oeste
Rua Antônio Morais Barros;Vila Zilda;87;2;2;Apartamento;5000;6093;03069-050;Leste
Rua Paim;Bela Vista;45;2;1;Apartamento;4000;4945;01306-010;Central
Rua Batataes;Jardim Paulista;32;1;1;Studio e kitnet;2594;4010;01423-010;Central
Rua Narain Singh Luschini;Parque Continental Ii;56;2;1;Apartamento;1200;1633;07085-010;Grande SP
Avenida Amador Bueno da Veiga;Penha de França;35;1;1;Studio e kitnet;1300;1590;03653-000;Leste
Rua Augusta;Consolação;40;1;1;Apartamento;3300;4888;01304-000;Central
Rua Intendência;Brás;85;2;0;Apartamento;1900;2374;03015-010;Leste
Rua Abraão Miguel do Carmo;Vila Monte Alegre;97;3;2;Apartamento;2961;4297;04306-090;Sul
Rua Frederico Abranches;Vila Buarque;35;1;1;Apartamento;1900;2614;01225-070;Central
Rua Ernesto de Oliveira;Jardim Vila Mariana;77;3;2;Apartamento;3300;5342;04116-170;Sul
Rua Gaspar Lourenço;Vila Mariana;32;1;0;Apartamento;2750;3226;04107-001;Sul
Rua Osório Duque Estrada;Paraíso;44;1;1;Studio e kitnet;6500;7608;04001-120;Sul
Rua Laranjal do Jari;Vila Pirituba;49;2;1;Apartamento;1650;2350;05172-185;Oeste
Avenida Flor de Vila Formosa;Vila Formosa;48;2;0;Apartamento;1400;1534;03366-010;Leste
Rua Fernandes Moreira;Chácara Santo Antônio (zona Sul);95;3;2;Apartamento;7100;8563;04716-000;Sul
Rua Eulo Maroni;Vila Lageado;59;2;1;Apartamento;1600;2340;05338-100;Oeste
Rua Luís Correia de Melo;Santo Amaro;70;2;1;Apartamento;9000;10240;04726-220;Sul
Rua Barata Ribeiro;Bela Vista;24;1;0;Studio e kitnet;4200;5062;01312-010;Central
Rua Quatiguá;Vila Ivone;33;1;0;Apartamento;1100;1387;04140-020;Sul
Rua Professor Alves Pedroso;Cangaiba;48;2;1;Apartamento;1000;1592;03721-010;Leste
Rua Oscar Freire;Pinheiros;60;2;0;Apartamento;2900;3701;01426-001;Central
Rua Bahia;Higienópolis;48;1;1;Apartamento;4600;5927;01244-900;Central
Rua Tenente Otávio Gomes;Aclimação;35;1;0;Apartamento;1051;1331;01526-010;Central
Rua Gama Lobo;Vila Dom Pedro I;38;1;1;Apartamento;3200;4275;04269-001;Sul
Rua João Moura;Pinheiros;75;2;2;Apartamento;12000;13700;05402-000;Oeste
Avenida Professor Luiz Ignácio Anhaia Mello;Vila Graciosa;34;1;0;Studio e kitnet;1200;1547;03987-000;Leste
Rua Pedro Inacio de Araujo;Vila São Silvestre;75;3;2;Apartamento;2500;3653;05386-370;Oeste
Rua Doutor Cesário Mota Júnior;Vila Buarque;26;1;0;Studio e kitnet;2070;2710;01221-020;Central
Rua José Kauer;Brás;35;1;0;Apartamento;1800;2266;03019-020;Leste
Avenida Rangel Pestana;Jardim Brasília (zona Norte);35;1;0;Apartamento;1800;2149;01020-000;Central
Rua Rego Freitas;República;26;1;0;Apartamento;2000;2105;01220-010;Central
Rua Fradique Coutinho;Pinheiros;90;2;1;Apartamento;6500;8342;05422-011;Oeste
Avenida Salgado Filho;Centro;59;2;1;Apartamento;1180;1524;07115-000;Grande SP
Rua Apotribu;Parque Imperial;60;1;2;Studio e kitnet;3700;4917;04045-003;Sul
Rua Dona Veridiana;Vila Buarque;62;2;0;Apartamento;3200;3732;01238-010;Central
Avenida Rio Branco;Campos Elíseos;32;1;1;Apartamento;2100;3248;01206-010;Central
Rua Henri Dunant;Santo Amaro;93;2;2;Apartamento;8000;10550;04709-110;Sul
Rua Avanhandava;Consolação;35;2;0;Studio e kitnet;1700;2197;01312-000;Central
Rua Leandro Dupré;Vila Clementino;55;1;1;Apartamento;2200;3108;04025-010;Sul
Rua Vinte E Oito de Setembro;Vila Dom Pedro I;54;2;1;Apartamento;2575;3374;04267-000;Sul
Rua do Erário;Vila Bertioga;85;2;0;Casa;1600;1815;03188-070;Leste
Avenida Doutor Francisco Mesquita;Quinta da Paineira;35;1;0;Apartamento;2300;2639;03203-070;Leste
Avenida Ibiúna;Vila Aricanduva;54;2;1;Apartamento;1950;2555;03507-010;Leste
Rua Jaceru;Vila Gertrudes;53;1;1;Apartamento;4443;5404;04705-000;Sul
Rua Galeno de Almeida;Pinheiros;69;1;1;Apartamento;6500;8202;05410-020;Oeste
Rua Luiz Seráphico Júnior;Jardim Caravelas;27;1;0;Apartamento;2300;2689;04729-080;Sul
Rua Nossa Senhora da Saúde;Jardim Previdência;40;1;0;Casa;1150;1264;04159-090;Sul
Avenida Ministro Petrônio Portela;Vila Amélia;60;2;1;Apartamento;1400;2064;02927-000;Norte
Avenida Mário Lopes Leão;Santo Amaro;32;1;0;Studio e kitnet;1350;1592;04754-010;Sul
Rua Campelo;Vila Nova Mazzei;45;2;1;Apartamento;1490;1798;02313-100;Norte
Rua Vila Prudente;Vila Prudente;40;1;0;Casa;983;1025;03152-200;Leste
Rua Martinho Prado;Bela Vista;41;1;0;Apartamento;1300;1929;01306-050;Central
Rua Maria Luísa de Pinho;Parque da Mooca;30;1;0;Studio e kitnet;1650;1830;03124-090;Leste
Alameda Conde de Porto Alegre;Santa Maria;63;2;1;Apartamento;2300;3116;09560-000;Grande SP
Rua Edvard Carmilo;Jardim Celeste;41;2;0;Apartamento;1250;1548;05534-000;Oeste
Rua Mercedes Lopes;Vila Santana;54;2;1;Apartamento;1800;2619;03635-000;Leste
Rua Suzano;Jardim Paulista;36;1;1;Apartamento;5127;6218;05767-006;Oeste
Rua Nilo Torres;Jardim Umuarama;180;3;1;Casa;3200;3365;04650-040;Sul
Avenida Professor Luiz Ignácio Anhaia Mello;Vila Prudente;44;2;0;Apartamento;1943;2203;03154-000;Leste
Rua Serra de Bragança;Vila Gomes Cardim;35;1;1;Studio e kitnet;2449;3151;03318-000;Leste
Rua das Sempre-vivas;Jardim das Acácias;22;1;0;Studio e kitnet;2800;3418;04704-030;Sul
Rua Casa do Ator;Vila Olímpia;55;2;1;Apartamento;4500;5524;04546-000;Sul
Alameda Tietê;Cerqueira César;82;1;2;Studio e kitnet;8500;10720;01417-020;Central
Av. Benjamin Harris Hunicutt;Portal dos Gramados;45;2;1;Apartamento;950;1232;07124-075;Grande SP
Rua Vinte E Cinco de Janeiro;Cidade Luz;47;2;0;Apartamento;1500;1940;01103-000;Central
Rua Olávo Leite;Vila Andrade;55;2;2;Apartamento;3059;4020;05724-005;Oeste
Rua Adalberto Kemeny;Parque Industrial Tomas Edson;66;2;1;Apartamento;4000;4997;01139-050;Central
Rua Luiz Seráphico Júnior;Jardim Caravelas;29;1;0;Apartamento;2000;2457;04729-080;Sul
Rua Padre Machado;Bosque da Saúde;60;2;1;Apartamento;2300;3508;04035-001;Sul
Rua Iguaré;Tatuapé;50;2;1;Apartamento;1650;2382;03077-010;Leste
Rua Conselheiro Furtado;Liberdade;35;1;0;Studio e kitnet;1350;1923;01018-020;Central
Rua Rodrigo Vieira;Jardim Vila Mariana;15;1;0;Studio e kitnet;1150;1232;04115-060;Sul
Rua Aluísio Azevedo;Santana;66;3;1;Apartamento;2000;3045;02021-030;Norte
Avenida Dória;Vila Alexandria;53;2;1;Apartamento;2900;4032;04635-070;Sul
Alameda Jaú;Jardim Paulista;60;2;1;Apartamento;3300;4574;01420-000;Central
Rua Solidônio Leite;Vila Ivone;54;2;1;Apartamento;1300;1810;03275-000;Leste
Rua Luís Godoy Carvalho;São João Climaco;27;1;0;Apartamento;1050;1121;04244-040;Sul
Rua Elvira Ferraz;Vila Olímpia;65;1;2;Apartamento;6900;10150;04552-040;Sul
Rua Martim Afonso de Souza;Vila Pires;48;2;2;Apartamento;1645;2024;09195-230;Grande SP
Rua da Paz;Chácara Santo Antônio (zona Sul);34;1;1;Apartamento;2799;3678;02327-060;Norte
Rua da Chibata;Vila Andrade;55;2;1;Apartamento;1850;2454;05734-100;Oeste
Rua Jaguaribe;Vila Buarque;59;1;0;Apartamento;2560;3134;01224-000;Central
Rua Francisco Pereira;Vila Galvão;56;2;1;Apartamento;2100;2624;07071-060;Grande SP
Rua Olímpio Portugal;Mooca;35;1;1;Apartamento;1600;2046;03112-010;Leste
Rua Mexicana;Vila Endres;52;2;1;Apartamento;1350;1889;07043-080;Grande SP
Rua Pequetita;Itaim Bibi;38;1;2;Apartamento;3200;4279;04552-060;Sul
Avenida Vila Ema;Vila Ema;61;3;1;Apartamento;1957;2532;03156-000;Leste
Rua Michigan;Cidade Monções;35;1;1;Apartamento;4300;4915;04566-000;Sul
Rua Joaquim Rosa da Silva;Jardim Colorado;45;2;0;Apartamento;1200;1317;03387-020;Leste
Avenida Jabaquara;Mirandópolis;28;1;0;Studio e kitnet;3000;3642;04046-000;Sul
Rua Carolina Soares;Vila Diva (zona Norte);35;1;1;Apartamento;2200;2914;02554-000;Norte
Rua Bandeira Paulista;Itaim Bibi;42;1;1;Apartamento;7000;9736;04532-010;Sul
Rua Ouro Branco;Jardim Paulista;37;1;1;Apartamento;3750;5403;01425-080;Central
Rua dos Estudantes;Sé;27;1;0;Apartamento;2400;2863;01505-001;Central
Rua Alves Guimarães;Pinheiros;27;1;0;Studio e kitnet;3300;3827;05410-000;Oeste
Avenida Engenheiro Heitor Antônio Eiras Garcia;Jardim Esmeralda;53;2;1;Apartamento;1790;2837;05588-000;Oeste
Avenida Ipiranga;República;27;1;0;Studio e kitnet;1130;1174;03026-005;Leste
Alameda dos Anapurus;Indianópolis;30;1;0;Apartamento;1500;2061;04074-000;Sul
Rua Flórida;Cidade Monções;37;1;1;Apartamento;3400;4150;04565-000;Sul
Rua José Bento;Cambuci;35;1;1;Apartamento;1500;2038;01523-030;Central
Avenida Jandira;Indianópolis;31;1;1;Studio e kitnet;2430;4395;04080-007;Sul
Alameda Jaú;Jardim Paulista;28;1;1;Studio e kitnet;2830;4224;01420-000;Central
Rua Consolação;Cerqueira César;30;1;0;Studio e kitnet;2050;2681;01416-000;Central
Rua Álvaro de Carvalho;Centro;35;1;1;Apartamento;1600;2254;01050-070;Central
Alameda dos Anapurus;Indianópolis;32;1;1;Studio e kitnet;5000;6943;04074-000;Sul
Avenida Rouxinol;Indianópolis;29;1;1;Studio e kitnet;3500;5173;04506-000;Sul
Rua Doutor Gabriel Covelli;Parque Peruche;60;2;1;Casa;1630;1780;02533-000;Norte
Rua Martim Burchard;Jardim Brasília (zona Norte);50;2;0;Apartamento;3000;3841;03002-000;Leste
Avenida Itaboraí;Bosque da Saúde;57;2;1;Apartamento;1750;2710;04135-000;Sul
Avenida Salgado Filho;Centro;56;2;1;Apartamento;1240;1522;07115-000;Grande SP
Rua Copacabana;Santa Teresinha;52;2;1;Apartamento;1800;2494;02461-000;Norte
Rua Jocelyn Bennaton;Vila Nova Caledônia;98;3;2;Casa;4100;4281;04648-100;Sul
Rua Tabatinguera;Sé;52;2;1;Apartamento;1550;2090;01018-020;Central
Rua Domingos José Sapienza;Vila Amália (zona Norte);69;3;1;Apartamento;1450;2085;02618-000;Norte
Rua Ernesto de Castro;Brás;55;2;1;Apartamento;3300;3810;03042-010;Leste
Rua Francisca Miquelina;Bela Vista;99;2;0;Apartamento;3000;3504;01319-001;Central
Rua Washington Luís;Centro;22;1;0;Studio e kitnet;1900;2269;01033-010;Central
Rua Visconde de Parnaíba;Brás;36;1;1;Apartamento;2200;2754;03045-000;Leste
Rua Vitória;Santa Efigênia;73;1;0;Apartamento;1500;2008;01210-001;Central
Rua Acaraú;Consolação;50;1;0;Apartamento;1800;2509;01306-030;Central
Rua Luís Correia de Melo;Vila Cruzeiro;37;1;1;Apartamento;3100;3820;04726-220;Sul
Rua Otávio de Morais;Cidade São Francisco;98;2;2;Apartamento;3500;4820;05351-080;Oeste
Rua Martim Burchard;Brás;45;2;0;Apartamento;1640;2048;03002-000;Leste
Rua Vicenzo Paciullo;Jardim Las Vegas;45;2;1;Apartamento;1650;2193;07082-290;Grande SP
Rua Arizona;Cidade Monções;74;1;2;Apartamento;5500;6965;04580-051;Sul
Rua Rego Freitas;República;28;1;0;Apartamento;1900;2274;01220-010;Central
Av. Imperatriz Leopoldina;Vila Leopoldina;50;2;1;Apartamento;2600;3650;05305-000;Oeste
Rua Gomes de Carvalho;Vila Olímpia;43;1;1;Apartamento;3400;4330;04547-000;Sul
Rua José Gonçalves Galeão;Jardim Avelino;130;3;2;Apartamento;5800;7521;03227-150;Leste
Rua Tutóia;Vila Mariana;80;3;2;Apartamento;5150;6645;04007-000;Sul
Rua Marie Nader Calfat;Jardim Ampliacao;48;2;1;Apartamento;2100;2801;05713-520;Oeste
Rua Frei Caneca;Consolação;29;1;0;Apartamento;3600;4186;01307-000;Central
Avenida Jamaris;Planalto Paulista;32;1;0;Studio e kitnet;2700;3513;04078-000;Sul
Avenida São João;Santa Cecília;42;1;1;Studio e kitnet;1634;2354;01211-101;Central
Rua Justo Azambuja;Cambuci;84;2;1;Apartamento;2650;3958;01518-000;Central
Rua Frei Caneca;Consolação;29;1;0;Studio e kitnet;3000;3516;01307-000;Central
Avenida Adolfo Coelho;Lauzane Paulista;67;2;0;Casa;1520;1585;02443-000;Norte
Rua Mariquinha Viana;Água Fria;60;2;1;Casa em condomínio;1800;1981;02408-130;Norte
Avenida Ipiranga;República;48;1;0;Studio e kitnet;1300;1610;03026-005;Leste
Rua Doutor Nelson da Veiga;Vila Nova Mazzei;65;2;1;Casa em condomínio;2987;3479;02312-100;Norte
Rua Floro de Oliveira;Jardim Adriana;70;2;2;Casa em condomínio;1500;1878;07135-313;Grande SP
Rua Tabor;Ipiranga;55;2;1;Apartamento;3300;4141;04202-020;Sul
Rua Enótria;Vila Mazzei;31;1;0;Apartamento;1510;1889;02309-100;Norte
Avenida Marechal Eurico Gaspar Dutra;Santana;45;1;0;Casa;1078;1226;02239-010;Norte
Rua Doutor Valentim de Queirós;Jardim Regina;18;1;0;Studio e kitnet;1050;1121;05175-000;Oeste
Rua Padre Aníbal Difrância;Jardim Mangalot;156;2;3;Casa;2300;2445;05135-160;Oeste
Rua Lagoa de Dentro;Vila Silvia;45;2;1;Apartamento;1350;1602;03820-290;Leste
Rua do Paraíso;Paraíso;90;3;1;Casa;3300;3624;04103-001;Sul
Rua Alves Cardoso;Vila Maria Alta;37;1;0;Apartamento;1050;1296;02134-060;Norte
Rua Professor Alberto Conte;Vila Moinho Velho;100;3;0;Casa;1900;2181;04286-070;Sul
Viaduto Dona Paulina;Centro;43;1;0;Studio e kitnet;902;1467;01501-020;Central
Rua Tóquio;Vila Metalurgica;45;2;0;Apartamento;1100;1207;09220-230;Grande SP
Rua Cachoeira do Arari;Vila Guilherme;80;2;0;Apartamento;1396;1492;02078-000;Norte
Avenida Cândido Portinari;Vila Jaguara;80;3;0;Casa;1600;1835;05114-000;Oeste
Rua Catuaba;Vila Alpina;60;1;0;Casa;1200;1351;03208-000;Leste
Rua Herval;Belenzinho;40;1;0;Apartamento;1800;2069;03062-000;Leste
Rua Carlos Vicari;Barra Funda;39;1;0;Studio e kitnet;3100;3220;05033-070;Oeste
Rua Comprida;Vila Mazzei;50;1;0;Casa;1350;1407;02311-010;Norte
Rua Hermeto Lima;Vila Alpina;60;2;0;Casa;1300;1389;03211-160;Leste
Rua Venezuela;Vila Santa Teresa;50;2;1;Casa;1481;1610;09030-310;Grande SP
Rua Arapá;Vila Mascote;58;2;1;Apartamento;2700;3581;04363-060;Sul
Rua Vichy;Vila Baruel;37;2;0;Casa em condomínio;1400;1710;02522-100;Norte
Rua Sapucaia;Alto da Mooca;30;1;0;Apartamento;1400;1680;03170-050;Leste
Rua Almeida Lisboa;Vila Firmiano Pinto;87;1;1;Casa;2500;2606;04125-050;Sul
Rua Camaragibe;Barra Funda;40;1;0;Studio e kitnet;1100;1579;01154-000;Central
Rua Oboé;Vila Nossa Senhora de Fátima;60;2;2;Apartamento;1500;1949;07191-257;Grande SP
Rua Professor João Machado;Nossa Senhora do Ó;50;2;1;Apartamento;1790;2535;02927-000;Norte
Rua Vicenzo Paciulo;Jardim Gracinda;58;3;1;Apartamento;2000;2137;07082-290;Grande SP
Praça Ministro Costa Manso;Liberdade;29;1;0;Studio e kitnet;1070;1445;01512-000;Central
Rua Martins Fontes;Centro Histórico de São Paulo;35;1;0;Apartamento;1627;1995;01046-001;Central
Praça Júlio Mesquita;Santa Efigênia;50;1;1;Apartamento;4000;4782;01209-010;Central
Rua Herval;Belenzinho;30;1;0;Apartamento;1800;2069;03062-000;Leste
Rua Ponte Pensa;Parada Inglesa;89;2;0;Apartamento;2600;2936;02245-110;Norte
Rua Edgar de Sousa;Vila Aricanduva;67;2;0;Apartamento;1600;1962;03502-010;Leste
Rua Bartholomeu do Canto;Vila Palmeiras;37;1;0;Studio e kitnet;1400;1804;02726-090;Norte
Rua Antonieta;Boa Vista;70;2;0;Casa;1400;1561;09572-250;Grande SP
Avenida Padre Arlindo Vieira;Jardim Vergueiro (sacoma);47;2;1;Apartamento;1220;1816;04166-003;Sul
Rua Abagiba;Saúde;127;2;2;Casa;2700;2745;04294-000;Sul
Rua Carlos Petit;Vila Mariana;160;4;1;Casa;3800;4393;04102-000;Sul
Rua Yvorne;Lauzane Paulista;75;1;1;Casa;1260;1313;02442-010;Norte
Rua Lopes da Costa;Chácara São João;30;1;0;Casa em condomínio;1000;1157;02279-060;Norte
Rua São Domingos;Bela Vista;42;1;0;Apartamento;1809;2365;01326-000;Central
Rua Primícias;Chácara Califórnia;62;2;3;Casa;3000;3386;03406-100;Leste
Rua Trapiche;Vila Matilde;30;1;0;Apartamento;1250;1588;03550-010;Leste
Rua Torres da Barra;Água Branca;31;1;0;Apartamento;1664;2129;05037-055;Oeste
Rua Belchior de Azevedo;Vila Leopoldina;49;2;1;Apartamento;2700;3489;05089-030;Oeste
Rua Conde de Sarzedas;Liberdade;37;2;0;Apartamento;1900;2304;01512-070;Central
Rua João Miguel Jarra;Vila Madalena;60;2;1;Apartamento;2500;2996;05417-040;Oeste
Rua Corumbaiba;Vila Oratório;57;2;1;Apartamento;3100;3746;03189-030;Leste
Rua Marechal Floriano;Vila Gilda;60;1;0;Casa;1000;1042;09190-470;Grande SP
Avenida Cangaíba;Cangaiba;39;2;0;Apartamento;1250;1598;03712-000;Leste
Rua Pederneiras;Vila Palmares;60;3;1;Apartamento;1500;2214;09061-330;Grande SP
Rua Amaral Gurgel;Vila Buarque;30;1;0;Studio e kitnet;1058;1319;01221-000;Central
Rua Padre Isidoro;Vila Nova York;41;2;0;Apartamento;1250;1558;03479-020;Leste
Rua Bimbarra;Vila Formosa;54;1;1;Apartamento;2980;3919;03355-020;Leste
Rua Madre Maria da Assunção Soares;Santo Amaro;38;1;0;Studio e kitnet;2200;2484;04735-010;Sul
Rua Aguiar de Barros;Bela Vista;20;1;0;Studio e kitnet;2100;2489;01316-020;Central
Rua François Coty;Cambuci;34;2;0;Apartamento;2500;2896;01524-030;Central
Avenida Celso Garcia;Tatuapé;36;1;0;Studio e kitnet;883;1440;03014-000;Leste
Rua Cristóvão Bezerra Dantas;Parque Vitória;50;1;0;Casa;577;601;02270-050;Norte
Rua José Pardelli;Jardim Paraíso;35;1;0;Casa em condomínio;1400;1510;02417-000;Norte
Rua Genebra;Bela Vista;28;1;0;Studio e kitnet;1500;2185;01316-010;Central
Rua General Feliciano Falcão;Vila Prudente;62;1;0;Apartamento;1350;1852;03126-005;Leste
Rua Elías Mussa Fajuri;Rio Pequeno;54;2;0;Apartamento;1200;1467;05364-190;Oeste
Rua Backer;Cambuci;18;1;0;Studio e kitnet;1233;1392;01537-000;Central
Rua Martim Burchard;Brás;49;2;1;Apartamento;1551;2006;03002-000;Leste
Avenida Alberto Augusto Alves;Vila Andrade;50;2;1;Apartamento;2800;3870;05724-030;Oeste
Avenida Dedo de Deus;Vila Formosa;36;1;0;Apartamento;1150;1524;03364-070;Leste
Avenida Curió;Campanário;58;2;1;Apartamento;1200;1831;09931-620;Grande SP
Rua Coronel Cintra;Mooca;30;1;0;Studio e kitnet;1100;1290;03105-050;Leste
Alameda São Caetano;Santa Paula;60;2;1;Apartamento;2218;2866;09560-051;Grande SP
Rua João Bizarro da Nave;Vila Diva (zona Leste);34;1;1;Casa;1400;1460;03351-100;Leste
Alameda Eduardo Prado;Campos Elíseos;30;1;1;Studio e kitnet;1500;1950;01216-000;Central
Rua Helena do Sacramento;Vila Guaca;50;1;0;Casa;1200;1283;02433-020;Norte
Rua Doutor José Maurício de Oliveira;Gopoúva;29;1;1;Apartamento;1650;2052;07092-110;Grande SP
Rua Natividade Saldanha;São Lucas;28;0;0;Apartamento;1100;1391;03223-150;Leste
Rua Amâncio Pedro de Oliveira;Vila Maracanã;51;2;1;Apartamento;2400;2868;05846-050;Oeste
Rua dos Camarés;Carandiru;49;2;1;Apartamento;1500;2178;02068-030;Norte
Rua Amorim Castro;Vila São Luís;15;1;0;Studio e kitnet;740;1196;05362-050;Oeste
Rua Dom Lucas Obes;Ipiranga;40;1;0;Apartamento;1330;1481;04212-020;Sul
Rua Carapocaia;Vila Isolina Mazzei;45;2;0;Apartamento;1550;1790;02083-050;Norte
Rua Jovita;Vila Rio;70;2;1;Apartamento;1000;1360;07124-150;Grande SP
Rua Mariquinha Viana;Mandaqui;34;1;0;Apartamento;1250;1378;02408-130;Norte
Rua Santo Antônio;Bela Vista;35;1;0;Studio e kitnet;1400;1704;01312-000;Central
Rua Lupe Cotrim Garaude;Jardim Jamaica;47;2;1;Apartamento;2000;2399;09185-450;Grande SP
Rua Antônio de Macedo Soares;Campo Belo;47;2;1;Apartamento;4500;5329;04605-000;Sul
Rua Tupi;Vila Valparaiso;60;2;1;Apartamento;1600;2122;09060-140;Grande SP
Rua Comendador Armando Pereira;Parque Casa de Pedra;50;1;0;Casa em condomínio;980;1063;02356-003;Norte
Rua Doutor Milton Cotrim Sonzzini;Vila Guarani (zona Sul);49;2;1;Casa;1600;1680;04311-120;Sul
Rua Major Diogo;Bela Vista;37;1;1;Apartamento;2750;3578;01050-000;Central
Avenida Tarumã;Vila Pierina;33;2;0;Apartamento;1110;1533;03733-000;Leste
Rua Santo André;Boa Vista;62;2;2;Apartamento;2700;3374;09560-000;Grande SP
Avenida Sapopemba;Jardim Utinga;38;2;1;Apartamento;990;1382;02859-140;Norte
Rua dos Macaxás;Vila Nair;100;2;3;Casa;3800;3863;04282-000;Sul
Rua Paulo Andrighetti;Alto do Pari;55;2;1;Apartamento;2600;3250;03020-000;Leste
Rua Edmundo Carvalho;Vila Natália;50;2;1;Apartamento;1150;1811;04251-000;Sul
Rua Massaranduba;Vila Monte Alegre;40;1;1;Apartamento;2500;2596;04304-120;Sul
Avenida Coronel Sezefredo Fagundes;Tucuruvi;70;3;0;Casa;2000;2034;02306-001;Norte
Rua Oscar Cintra Gordinho;Liberdade;28;1;0;Studio e kitnet;860;1208;01512-010;Central
Rua Armazém;Vila Leonor;40;1;1;Casa;950;1040;02078-015;Norte
Avenida Benjamin Harris Hunnicutt;Vila Bremen;49;2;1;Apartamento;1000;1288;07124-890;Grande SP
Rua Serra da Mantiqueira;Belenzinho;100;3;0;Casa;3850;4113;03302-030;Leste
Rua Helene Londahl;Bosque da Saúde;50;1;0;Casa;1200;1297;04135-010;Sul
Rua Flamengo;Chácara Califórnia;112;3;6;Casa;4500;5233;03404-140;Leste
Rua Guilherme Rudge;Vila Sao Geraldo;38;2;0;Apartamento;1400;1664;03608-010;Leste
Rua dos Patriotas;Ipiranga;75;2;0;Apartamento;1650;2153;04261-050;Sul
Alameda Riberio da Silva;Campos Elíseos;35;1;0;Studio e kitnet;1550;1978;01217-011;Central
Rua Chafic Maluf;Santo Amaro;120;2;2;Casa;5734;5977;04710-160;Sul
Rua Aquiles Jovane;Jardim Celeste;50;2;1;Apartamento;1220;1881;04195-150;Sul
Rua do Córrego;Vila Carrão;47;2;0;Apartamento;2200;2451;03421-020;Leste
Rua Bela Cintra;Consolação;38;1;1;Apartamento;2600;3108;04421-230;Sul
Avenida Rio Branco;Campos Elíseos;34;1;0;Apartamento;1200;1509;01206-010;Central
Rua Antônio Guarmerino;Cursino;50;2;1;Apartamento;1480;2067;04195-140;Sul
Rua Francisco Tapajós;Vila Santo Estéfano;51;2;1;Apartamento;3100;3220;04123-000;Sul
Rua Professor Miguel Russiano;Vila Aricanduva;52;2;1;Apartamento;1938;2811;03502-030;Leste
Rua Carlos Bigatti;Jardim Castelo;50;2;1;Apartamento;1400;1854;03728-210;Leste
Rua Apiacás;Perdizes;36;1;0;Studio e kitnet;3100;3975;05017-020;Oeste
Rua Lázara da Silva Jimenes;Vila Leonor;50;2;0;Apartamento;1600;1711;02077-027;Norte
Rua Justo Azambuja;Cambuci;82;2;1;Apartamento;3500;4548;01518-000;Central
Rua Professora Nina Stocco;Jardim Catanduva;50;2;1;Apartamento;1365;1815;05785-000;Oeste
Rua Ponte Pensa;Parada Inglesa;48;2;0;Apartamento;2050;2366;02245-110;Norte
Avenida Guilherme Giorgi;Vila Carrao;85;2;2;Casa em condomínio;3800;4491;03422-000;Leste
Rua Marie Nader Calfat;Jardim Ampliação;33;1;1;Studio e kitnet;2650;3152;05713-520;Oeste
Rua Frei Mont’alverne;Vila Aricanduva;40;1;1;Studio e kitnet;1150;1194;03505-030;Leste
Rua Águas Formosas;Jardim Brasil (zona Norte);36;1;1;Apartamento;1300;1694;02210-020;Norte
