address;district;area;bedrooms;garage;type;rent;total;cep;Zona
Rua Manuel Leiroz;Vila Penteado;31;1;0;Apartamento;1500;1928;03735-180;Leste
Rua Itapeti;Vila Alpina;42;1;1;Apartamento;1600;2066;09090-200;Grande SP
Rua Helena Zerrener;Liberdade;23;1;0;Studio e kitnet;753;1162;01512-020;Central
Rua Antonieta;Picanço;60;2;1;Casa;1700;1857;07080-120;Grande SP
Rua Natividade Saldanha;São Lucas;22;0;0;Studio e kitnet;900;1126;03223-150;Leste
Rua Virginópolis;Sacomã;80;2;1;Casa;2426;2529;04249-020;Sul
Avenida Joaquina Ramalho;Vila Guilherme;34;1;0;Studio e kitnet;1250;1416;02065-010;Norte
Rua Coronel Mursa;Brás;19;1;0;Studio e kitnet;1700;2016;03043-050;Leste
Rua da Glória;Liberdade;28;1;0;Studio e kitnet;2000;2327;01510-000;Central
Rua Sete Barras;Vila Moinho Velho;70;2;1;Apartamento;3218;3832;02927-080;Norte
Rua Doutor Raul da Rocha Medeiros;Tatuapé;52;2;1;Apartamento;3800;4672;03071-100;Leste
Rua Alencar Araripe;Sacomã;50;2;1;Apartamento;1712;2486;04253-000;Sul
Rua Cônego Vicente Miguel Marino;Barra Funda;38;1;1;Apartamento;2400;2953;01135-020;Central
Rua Doutor Fleury Silveira;Vila Santa Maria;23;1;1;Casa;700;855;02563-010;Norte
Rua Hermínio Lemos;Cambuci;15;1;0;Studio e kitnet;1150;1194;01535-000;Central
Rua Doutor Bento Teobaldo Ferraz;Várzea da Barra Funda;31;1;0;Apartamento;2100;2429;01140-070;Central
Avenida Doutor Bernardino Brito Fonseca de Carvalho;Vila Talarico;62;3;1;Apartamento;1700;2217;03535-000;Leste
Rua do Tatuapé;Maranhão;32;1;0;Apartamento;1550;1795;03089-030;Leste
Rua Monsenhor Francisco de Paula;Vila Aricanduva;46;2;0;Apartamento;1799;1928;03504-000;Leste
Rua Doutor Artur Rudge Ramos;Vila Caminho do Mar;98;2;1;Casa;1700;1841;09619-150;Grande SP
Rua Marquês Maricá;Sacomã;38;1;0;Studio e kitnet;1030;1053;04252-000;Sul
Rua Nossa Senhora Acheropita;Vila Santa Clara;42;1;1;Casa;1600;1715;03159-120;Leste
Rua Tanque Velho;Vila Nivi;42;2;0;Casa em condomínio;1500;1625;02267-000;Norte
Avenida dos Ourives;Jardim São Savério;41;2;0;Apartamento;1300;1750;04194-260;Sul
Rua Olímpio Portugal;Mooca;38;1;1;Apartamento;1550;1913;03112-010;Leste
Avenida Monteiro Lobato;Macedo;28;1;1;Studio e kitnet;2100;2495;07011-003;Grande SP
Rua Abrahão Calux;Vila Moinho Velho;59;2;1;Apartamento;2200;2861;04286-100;Sul
Avenida Prestes Maia;Centro;37;1;0;Studio e kitnet;1100;1918;01031-001;Central
Rua Fonseca da Costa;Bosque da Saúde;209;3;2;Casa;6000;6674;04151-060;Sul
Rua Afonso Morsch;Vila Constança;75;2;1;Casa em condomínio;4000;4067;02259-010;Norte
Rua Bartholomeu do Canto;Vila Palmeiras;31;1;0;Apartamento;1700;2166;02726-090;Norte
Rua Natividade Saldanha;São Lucas;19;0;0;Studio e kitnet;850;1052;03223-150;Leste
Rua Antônio Gomes Ferreira;Parque Fongaro;32;2;0;Apartamento;1100;1492;04257-100;Sul
Rua Jovina Maria de Jesus;Jardim das Acácias;209;4;2;Casa;6950;7722;04704-120;Sul
