,address,district,area,bedrooms,garage,type,rent,total,cep
962,Rua Engenheiro Bianor,Butantã,1,1,1,Studio e kitnet,2490,2987,05502-010
1223,Rua Mussumés,Vila Maria Alta,5,1,0,Casa,570,594,02130-070
2983,Rua Relíquia,Jardim das Laranjeiras,0,2,1,Apartamento,1600,2569,02517-000
5323,Rua Solidônio Leite,Vila Ivone,2,2,2,Casa,2500,2711,03275-000
7085,Rua Edmundo de Amicis,Morumbi,0,3,2,Casa,3200,3351,05632-070
9898,Rua Visconde de Porto Seguro,Jardim dos Estados,1,4,3,Casa em condomínio,8500,11420,04642-000
11055,Travessa Santa Filomena,Vila Campo Grande,4,1,0,Casa,630,641,04455-100
